Id,Edad,Ingrediente_1,Ingrediente_2,Ingrediente_3,Sodio en mg,Gramos de aspartamo,Azucar Gramos,Gramos entre Azucar y otros endulcorantes,Densidad,pH,Litros de Cafeina,Grado de Colorante,Indice Satisfaccion
0,17.0,7.2,0.51,0.24,10.0,0.093,35.0,197.0,0.9981,0.47,0.47,9.0,0
1,24.0,7.2,0.17,0.41,1.6,0.052,24.0,126.0,0.99228,0.49,0.49,10.8,0
2,18.0,8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,0.54,0.54,9.4,0
3,17.0,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,0.54,0.54,12.3,1
4,26.0,6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,0.61,0.61,12.8,1
5,10.0,7.3,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,0.66,0.66,10.5,1
6,20.0,7.0,0.2,0.3,6.1,0.037,31.0,120.0,0.9939,0.51,0.51,10.8,0
7,12.0,7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,0.38,0.38,12.2,1
8,26.0,7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,0.46,0.46,8.9,1
9,12.0,5.5,0.32,0.45,4.9,0.028,25.0,191.0,0.9922,0.49,0.49,11.5,1
10,27.0,6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,0.82,0.82,11.2,1
11,19.0,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,0.41,0.41,9.1,1
12,15.0,6.9,0.26,0.33,12.6,0.051,59.0,173.0,0.998,0.38,0.38,9.9,0
13,15.0,6.9,0.19,0.33,1.6,0.043,63.0,149.0,0.9925,0.52,0.52,10.8,0
14,16.0,9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,0.63,0.63,9.5,1
15,13.0,6.8,0.32,0.32,8.7,0.029,31.0,105.0,0.99146,0.34,0.34,12.3,1
16,11.0,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,0.54,0.54,10.4,1
17,15.0,8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,0.47,0.47,9.7,1
18,23.0,7.9,0.21,0.39,2.0,0.057,21.0,138.0,0.99176,0.52,0.52,10.9,0
19,16.0,5.1,0.35,0.26,6.8,0.034,36.0,120.0,0.99188,0.4,0.4,11.5,1
20,19.0,7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,0.35,0.35,11.3,1
21,22.0,6.3,0.41,0.3,3.2,0.03,49.0,164.0,0.9927,0.79,0.79,11.7,1
22,12.0,6.2,0.23,0.35,0.7,0.051,24.0,111.0,0.9916,0.43,0.43,11.0,0
23,18.0,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,0.44,0.44,8.7,0
24,18.0,7.6,0.2,0.31,1.4,0.047,41.0,142.0,0.9934,0.53,0.53,10.1,1
25,19.0,6.2,0.255,0.27,1.3,0.037,30.0,86.0,0.98834,0.59,0.59,12.9,1
26,30.0,5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,0.54,0.54,8.7,0
27,13.0,7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,0.44,0.44,10.2,1
28,19.0,6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,0.45,0.45,10.4,1
29,28.0,6.1,0.3,0.47,1.4,0.049,50.0,187.0,0.9927,0.45,0.45,9.5,0
30,17.0,7.9,0.44,0.26,4.45,0.033,23.0,100.0,0.99117,0.52,0.52,12.7,1
31,29.0,12.7,0.59,0.45,2.3,0.082,11.0,22.0,1.0,0.7,0.7,9.3,1
32,21.0,7.1,0.44,0.23,5.8,0.035,24.0,100.0,0.99062,0.57,0.57,13.2,1
33,10.0,7.3,0.43,0.24,2.5,0.078,27.0,67.0,0.99648,0.59,0.59,11.1,1
34,17.0,7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,0.62,0.62,9.3,0
35,26.0,7.3,0.2,0.39,2.3,0.048,24.0,87.0,0.99044,0.35,0.35,12.0,1
36,18.0,7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,0.47,0.47,11.2,1
37,29.0,5.7,0.41,0.21,1.9,0.048,30.0,112.0,0.99138,0.55,0.55,11.2,1
38,10.0,6.8,0.26,0.33,1.5,0.047,44.0,167.0,0.9928,0.44,0.44,10.5,1
39,29.0,7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,1.17,1.17,10.2,0
40,16.0,9.1,0.37,0.32,2.1,0.064,4.0,15.0,0.99576,0.8,0.8,11.2,1
41,11.0,6.7,0.2,0.37,1.65,0.025,42.0,103.0,0.99022,0.45,0.45,11.4,0
42,15.0,6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.9942,0.41,0.41,9.1,0
43,15.0,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,0.91,0.91,9.4,1
44,21.0,6.2,0.2,0.31,1.0,0.031,22.0,73.0,0.99035,0.52,0.52,11.3,1
45,21.0,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,0.51,0.51,11.4,1
46,11.0,8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.99408,0.62,0.62,12.4,1
47,14.0,8.1,0.28,0.34,1.3,0.035,11.0,126.0,0.99232,0.5,0.5,9.8,1
48,22.0,6.3,0.37,0.28,6.3,0.034,45.0,152.0,0.9921,0.46,0.46,11.6,1
49,16.0,8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,0.86,0.86,10.6,1
50,21.0,7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.9931,0.59,0.59,11.0,1
51,25.0,6.5,0.615,0.0,1.9,0.065,9.0,18.0,0.9972,0.65,0.65,9.2,0
52,21.0,6.6,0.34,0.18,6.4,0.082,47.0,240.0,0.9971,0.48,0.48,9.2,0
53,30.0,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,0.29,0.29,10.0,0
54,28.0,7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,0.56,0.56,10.5,1
55,19.0,6.6,0.22,0.37,1.2,0.059,45.0,199.0,0.993,0.55,0.55,10.3,1
56,27.0,6.9,0.2,0.37,6.2,0.027,24.0,97.0,0.992,0.49,0.49,12.2,1
57,10.0,6.2,0.23,0.38,1.6,0.044,12.0,113.0,0.99176,0.73,0.73,11.4,0
58,23.0,8.9,0.13,0.49,1.0,0.028,6.0,24.0,0.9926,0.32,0.32,9.9,0
59,11.0,7.5,0.58,0.14,2.2,0.077,27.0,60.0,0.9963,0.59,0.59,9.8,0
60,17.0,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,0.44,0.44,9.0,1
61,14.0,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,0.93,0.93,9.5,0
62,25.0,7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,0.41,0.41,12.3,1
63,23.0,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,0.38,0.38,9.0,1
64,30.0,6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,0.57,0.57,9.0,0
65,10.0,6.8,0.28,0.29,11.9,0.052,51.0,149.0,0.99544,0.58,0.58,10.4,1
66,16.0,6.4,0.41,0.01,6.1,0.048,20.0,70.0,0.99362,0.42,0.42,10.0,0
67,26.0,7.1,0.33,0.3,3.3,0.034,30.0,102.0,0.9912,0.31,0.31,12.3,1
68,24.0,7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,0.41,0.41,8.8,1
69,10.0,6.1,0.27,0.32,1.1,0.034,24.0,110.0,0.9898,0.4,0.4,12.5,1
70,15.0,5.7,0.28,0.28,2.2,0.019,15.0,65.0,0.9902,0.52,0.52,11.2,1
71,28.0,7.9,0.37,0.3,2.7,0.029,64.0,158.0,0.9916,0.59,0.59,12.0,1
72,10.0,8.5,0.23,0.28,11.1,0.033,30.0,97.0,0.99507,0.39,0.39,10.5,1
73,22.0,6.6,0.24,0.29,2.0,0.023,19.0,86.0,0.99,0.45,0.45,12.5,1
74,30.0,7.2,0.58,0.03,2.3,0.077,7.0,28.0,0.99568,0.52,0.52,10.0,0
75,27.0,6.8,0.2,0.38,4.7,0.04,27.0,103.0,0.994,0.58,0.58,10.7,1
76,20.0,8.5,0.25,0.27,4.7,0.031,31.0,92.0,0.9922,0.33,0.33,12.0,1
77,26.0,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,0.46,0.46,8.7,1
78,10.0,5.9,0.29,0.33,7.4,0.037,58.0,205.0,0.99495,0.41,0.41,9.6,0
79,24.0,6.7,0.54,0.13,2.0,0.076,15.0,36.0,0.9973,0.64,0.64,9.8,0
80,21.0,6.1,0.31,0.37,8.4,0.031,70.0,170.0,0.9934,0.4,0.4,11.7,1
81,11.0,10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,0.74,0.74,10.5,1
82,21.0,6.8,0.31,0.25,10.5,0.043,30.0,165.0,0.9972,0.55,0.55,10.55,1
83,30.0,6.4,0.31,0.09,1.4,0.066,15.0,28.0,0.99459,0.7,0.7,10.0,1
84,30.0,8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,0.56,0.56,12.0,0
85,15.0,7.2,0.24,0.27,11.4,0.034,40.0,174.0,0.99773,0.44,0.44,9.0,0
86,14.0,6.2,0.16,0.47,1.4,0.029,23.0,81.0,0.99,0.42,0.42,12.2,1
87,29.0,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,0.53,0.53,9.0,0
88,16.0,5.9,0.29,0.32,1.4,0.022,17.0,47.0,0.9899,0.35,0.35,11.5,1
89,19.0,7.3,0.29,0.29,4.6,0.029,27.0,155.0,0.9931,0.26,0.26,10.6,1
90,24.0,5.8,0.23,0.31,3.5,0.044,35.0,158.0,0.98998,0.37,0.37,12.1,1
91,29.0,9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,0.71,0.71,10.5,1
92,15.0,7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.9944,0.45,0.45,9.6,0
93,14.0,7.8,0.2,0.32,5.0,0.016,31.0,101.0,0.99186,0.39,0.39,11.0,1
94,16.0,5.7,0.27,0.32,1.2,0.046,20.0,155.0,0.9934,0.41,0.41,10.2,1
95,27.0,7.6,0.36,0.49,11.3,0.046,87.0,221.0,0.9984,0.43,0.43,9.2,0
96,11.0,7.3,0.4,0.26,5.45,0.016,26.0,90.0,0.98951,0.54,0.54,13.2,1
97,30.0,7.2,0.25,0.32,1.5,0.047,27.0,132.0,0.9933,0.44,0.44,10.5,0
98,18.0,6.3,0.3,0.24,6.6,0.04,38.0,141.0,0.995,0.47,0.47,9.5,0
99,14.0,9.9,0.74,0.28,2.6,0.078,21.0,77.0,0.998,0.51,0.51,9.8,0
100,27.0,7.5,0.41,0.23,14.8,0.054,28.0,174.0,0.99898,0.49,0.49,9.7,0
101,26.0,6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,0.29,0.29,10.8,0
102,18.0,5.9,0.17,0.3,1.4,0.042,25.0,119.0,0.9931,0.72,0.72,10.5,1
103,13.0,8.3,0.27,0.45,1.3,0.048,8.0,72.0,0.9944,0.61,0.61,10.3,0
104,12.0,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,0.49,0.49,9.6,1
105,15.0,9.5,0.21,0.47,1.3,0.039,21.0,123.0,0.9959,0.64,0.64,9.5,0
106,15.0,6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,0.43,0.43,9.2,1
107,27.0,7.5,0.26,0.31,1.6,0.032,36.0,109.0,0.99044,0.43,0.43,11.9,1
108,17.0,6.9,0.58,0.58,8.2,0.032,29.0,169.0,0.99275,0.44,0.44,12.2,1
109,29.0,7.1,0.37,0.3,6.2,0.04,49.0,139.0,0.99021,0.27,0.27,13.6,1
110,13.0,7.2,0.23,0.19,13.7,0.052,47.0,197.0,0.99865,0.53,0.53,9.0,0
111,19.0,6.8,0.18,0.24,9.8,0.058,64.0,188.0,0.9952,0.51,0.51,10.6,1
112,23.0,7.6,0.17,0.36,4.5,0.042,26.0,102.0,0.99427,0.47,0.47,9.5,0
113,12.0,7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,0.38,0.38,8.8,0
114,18.0,7.3,0.14,0.49,1.1,0.038,28.0,99.0,0.9928,0.72,0.72,10.6,1
115,28.0,7.4,0.27,0.31,2.4,0.014,15.0,143.0,0.99094,0.65,0.65,12.0,0
116,25.0,7.2,0.2,0.3,2.0,0.039,43.0,188.0,0.9911,0.41,0.41,12.0,1
117,23.0,7.0,0.26,0.34,10.9,0.038,25.0,84.0,0.99432,0.34,0.34,10.9,1
118,26.0,7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,0.41,0.41,8.7,1
119,30.0,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,0.44,0.44,10.1,1
120,14.0,7.6,0.51,0.24,1.2,0.04,10.0,104.0,0.992,0.29,0.29,10.8,1
121,21.0,8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,0.34,0.34,10.5,0
122,14.0,5.8,0.15,0.31,5.9,0.036,7.0,73.0,0.99152,0.43,0.43,11.9,1
123,18.0,6.9,0.28,0.33,1.2,0.039,16.0,98.0,0.9904,0.39,0.39,11.7,1
124,16.0,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,0.45,0.45,10.9,1
125,22.0,5.8,0.29,0.38,10.7,0.038,49.0,136.0,0.99366,0.59,0.59,11.2,1
126,22.0,8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,0.49,0.49,9.5,0
127,26.0,7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,0.52,0.52,9.9,0
128,21.0,7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,0.54,0.54,10.8,1
129,23.0,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,0.37,0.37,11.2,1
130,12.0,7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,0.41,0.41,8.8,1
131,25.0,7.7,0.49,1.0,19.6,0.03,28.0,135.0,0.9973,0.4,0.4,12.0,1
132,17.0,6.1,0.22,0.46,1.8,0.16,34.0,74.0,0.9884,0.33,0.33,13.4,1
133,20.0,8.1,0.24,0.32,10.5,0.03,34.0,105.0,0.99407,0.42,0.42,11.8,1
134,19.0,6.2,0.2,0.26,1.7,0.093,40.0,161.0,0.9924,0.66,0.66,11.0,0
135,27.0,6.5,0.34,0.36,11.0,0.052,53.0,247.0,0.9984,0.55,0.55,9.3,1
136,30.0,11.5,0.31,0.51,2.2,0.079,14.0,28.0,0.9982,0.93,0.93,9.8,1
137,13.0,6.4,0.28,0.44,7.1,0.048,49.0,179.0,0.99528,0.48,0.48,9.2,0
138,21.0,6.2,0.3,0.33,3.5,0.037,37.0,155.0,0.98987,0.37,0.37,12.4,1
139,21.0,6.7,0.24,0.33,12.3,0.046,31.0,145.0,0.9983,0.4,0.4,9.5,0
140,14.0,6.9,0.4,0.17,12.9,0.033,59.0,186.0,0.99754,0.49,0.49,9.4,0
141,13.0,7.7,0.28,0.33,6.7,0.037,32.0,155.0,0.9951,0.62,0.62,10.7,1
142,21.0,6.5,0.22,0.19,1.1,0.064,36.0,191.0,0.99297,0.5,0.5,9.5,1
143,16.0,5.3,0.31,0.38,10.5,0.031,53.0,140.0,0.99321,0.46,0.46,11.7,1
144,12.0,10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,1.06,1.06,11.0,1
145,17.0,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,0.54,0.54,9.8,1
146,12.0,6.0,0.27,0.31,5.0,0.043,54.0,170.0,0.9924,0.52,0.52,11.0,1
147,19.0,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,0.95,0.95,10.5,1
148,22.0,6.2,0.22,0.28,2.2,0.04,24.0,125.0,0.9917,0.48,0.48,10.5,1
149,26.0,6.9,0.37,0.23,9.5,0.057,54.0,166.0,0.99568,0.42,0.42,10.0,0
150,24.0,7.1,0.31,0.47,13.6,0.056,54.0,197.0,0.9978,0.49,0.49,9.3,0
151,16.0,5.7,0.31,0.28,4.1,0.03,22.0,86.0,0.99062,0.38,0.38,11.7,1
152,13.0,6.4,0.15,0.25,7.8,0.05,13.0,68.0,0.99394,0.4,0.4,9.9,1
153,24.0,6.5,0.46,0.31,5.0,0.027,15.0,72.0,0.99165,0.6,0.6,11.5,1
154,13.0,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,0.34,0.34,9.4,1
155,10.0,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,0.39,0.39,12.8,1
156,15.0,7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,0.58,0.58,9.5,0
157,10.0,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,0.67,0.67,9.7,0
158,10.0,9.5,0.86,0.26,1.9,0.079,13.0,28.0,0.99712,0.62,0.62,10.0,0
159,28.0,8.1,0.27,0.33,1.3,0.045,26.0,100.0,0.99066,0.44,0.44,12.4,1
160,12.0,8.2,0.24,0.3,2.3,0.05,23.0,106.0,0.99397,0.5,0.5,10.0,0
161,22.0,6.3,0.32,0.35,11.1,0.039,29.0,198.0,0.9984,0.5,0.5,9.4,1
162,15.0,5.9,0.32,0.26,1.5,0.057,17.0,141.0,0.9917,0.36,0.36,10.7,0
163,29.0,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,0.68,0.68,9.5,1
164,20.0,10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,0.65,0.65,9.3,1
165,27.0,7.5,0.26,0.52,13.2,0.047,64.0,179.0,0.9982,0.46,0.46,9.0,0
166,18.0,7.0,0.22,0.26,2.8,0.036,44.0,132.0,0.99078,0.41,0.41,12.0,1
167,16.0,6.9,0.24,0.39,1.3,0.063,18.0,136.0,0.9928,0.48,0.48,10.4,1
168,27.0,6.4,0.125,0.29,5.85,0.042,24.0,99.0,0.992,0.32,0.32,12.0,1
169,16.0,6.9,0.57,0.0,2.8,0.081,21.0,41.0,0.99518,0.52,0.52,10.8,0
170,10.0,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,0.91,0.91,9.4,1
171,28.0,6.8,0.22,0.32,5.9,0.054,40.0,152.0,0.9938,0.57,0.57,10.8,1
172,17.0,7.0,0.35,0.3,6.5,0.028,27.0,87.0,0.9936,0.42,0.42,11.4,1
173,12.0,8.2,0.4,0.48,13.7,0.042,59.0,169.0,0.9986,0.52,0.52,9.4,0
174,16.0,6.2,0.23,0.36,17.2,0.039,37.0,130.0,0.99946,0.43,0.43,8.8,1
175,21.0,6.8,0.31,0.3,8.0,0.028,33.0,122.0,0.99164,0.63,0.63,12.6,1
176,17.0,6.8,0.83,0.09,1.8,0.074,4.0,25.0,0.99534,0.45,0.45,9.6,0
177,22.0,6.5,0.19,0.26,5.2,0.04,31.0,140.0,0.995,0.68,0.68,9.5,1
178,18.0,7.0,0.57,0.02,2.0,0.072,17.0,26.0,0.99575,0.61,0.61,10.2,0
179,11.0,7.4,0.32,0.27,12.9,0.04,60.0,221.0,0.99831,0.66,0.66,9.4,0
180,28.0,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,0.54,0.54,10.4,1
181,18.0,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,0.54,0.54,9.1,0
182,16.0,7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.99328,0.54,0.54,12.4,1
183,17.0,6.4,0.26,0.4,1.7,0.179,5.0,60.0,0.9925,0.54,0.54,10.1,0
184,23.0,6.9,0.28,0.37,9.1,0.037,16.0,76.0,0.9948,0.54,0.54,11.1,0
185,25.0,7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,0.73,0.73,11.3,1
186,17.0,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9944,0.47,0.47,9.4,0
187,22.0,12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,0.71,0.71,10.9,1
188,26.0,6.0,0.33,0.2,1.8,0.031,49.0,159.0,0.9919,0.53,0.53,11.0,1
189,20.0,5.8,0.36,0.5,1.0,0.127,63.0,178.0,0.99212,0.45,0.45,9.7,0
190,19.0,6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,0.34,0.34,12.2,0
191,17.0,6.7,0.15,0.32,7.9,0.034,17.0,81.0,0.99512,0.31,0.31,10.0,1
192,11.0,8.6,0.18,0.28,0.8,0.032,25.0,78.0,0.99104,0.38,0.38,11.1,0
193,13.0,6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,0.32,0.32,10.1,0
194,15.0,9.1,0.21,0.37,1.6,0.067,6.0,10.0,0.99552,0.58,0.58,11.1,1
195,27.0,7.6,0.15,0.4,1.3,0.036,24.0,112.0,0.9932,0.76,0.76,10.0,0
